Episode,Titre,Date,Note IMDb,Description,Saison
Épisode 8,S7.E8 ∙ The One Where Chandler Doesn't Like Dogs,"jeu., 23 nov. 2000","8,0/10","Ross struggles to name all 50 states in a game. Joey compromises Rachel's chances with her crush, Tag, during Thanksgiving dinner. Phoebe sneaks a dog into the apartment, making Chandler extremely nervous.",Saison 7
Épisode 9,S7.E9 ∙ The One with All the Candy,"jeu., 7 déc. 2000","7,9/10","Monica makes candy to get to know her neighbours, Rachel and Tag try to hide their relationship at work and Ross buys Phoebe a bike.",Saison 7
Épisode 10,S7.E10 ∙ The One with the Holiday Armadillo,"jeu., 14 déc. 2000","8,4/10","Ross wants to introduce Ben to Hanukkah. In order to entice Rachel to move back into their refurbished apartment, Phoebe must drive a wedge between Rachel and current roomie Joey.",Saison 7
Épisode 11,S7.E11 ∙ The One with All the Cheesecakes,"jeu., 4 janv. 2001","8,4/10",Chandler refuses to give back a cheesecake accidentally delivered to his apartment; Phoebe gets angry with Joey when he blows off dinner with her for a date.,Saison 7
Épisode 12,S7.E12 ∙ The One Where They're Up All Night,"jeu., 11 janv. 2001","8,5/10","After the gang head up to the roof to see a passing comet, separate events unfold that lead to them all having a sleepless night.",Saison 7
Épisode 13,S7.E13 ∙ The One Where Rosita Dies,"jeu., 1 févr. 2001","8,2/10",Rachel breaks Joey's armchair. Phoebe takes a temp job in a call centre. Ross and Monica find out their parents are selling their childhood home.,Saison 7
Épisode 14,S7.E14 ∙ The One Where They All Turn Thirty,"jeu., 8 févr. 2001","8,4/10",Rachel's 30th birthday prompts the rest of the gang to reminisce about their own 30th celebrations.,Saison 7
Épisode 15,S7.E15 ∙ The One with Joey's New Brain,"jeu., 15 févr. 2001","8,2/10",Joey's character on Days of Our Lives wakes up from his coma with a brain transplant from one of the show's legendary characters. Ross practices the bagpipes for Monica and Chandler's wedding. Phoebe and Rachel compete for the same man.,Saison 7
Épisode 16,S7.E16 ∙ The One with the Truth About London,"jeu., 22 févr. 2001","8,6/10","Chandler is shocked to find out who Monica really wanted to sleep with the night they first got together. Meanwhile, Rachel gets into trouble with Ross when she teaches Ben practical jokes.",Saison 7
Épisode 17,S7.E17 ∙ The One with the Cheap Wedding Dress,"jeu., 15 mars 2001","8,2/10","Monica has to decide between her wedding dress and the band Chandler wants for the wedding. Joey and Ross date the same girl, and they both try to fight for her attention.",Saison 7
Épisode 18,S7.E18 ∙ The One with Joey's Award,"jeu., 29 mars 2001","8,2/10",Joey is nominated for a Soapy Award for his part on Days of Our Lives and Rachel is his date to the ceremony. Joey doesn't win the award but takes someone else's award home.,Saison 7
Épisode 19,S7.E19 ∙ The One with Ross and Monica's Cousin,"jeu., 19 avr. 2001","8,5/10",Joey auditions for a naked role in a big movie but the role becomes more complicated than he thought it would be. Rachel and Phoebe plan Monica's wedding shower; Ross becomes attracted to his cousin after she visits.,Saison 7
Épisode 20,S7.E20 ∙ The One with Rachel's Big Kiss,"jeu., 26 avr. 2001","8,2/10",Rachel's college friend can't remember a scandalous kiss from the past; Chandler and Ross argue for possession of Val Kilmer's tuxedo.,Saison 7
Épisode 21,S7.E21 ∙ The One with the Vows,"jeu., 3 mai 2001","7,2/10","Monica and Chandler are getting married in four weeks and have to write their vows, but neither has a clue what to say, so they reflect on their past.",Saison 7
Épisode 22,S7.E22 ∙ The One with Chandler's Dad,"jeu., 10 mai 2001","8,2/10",Ross and Rachel hit the freeway together when Monica's Porsche shows up again; Chandler and Monica go off to Vegas to find Chandler's estranged dad.,Saison 7
Épisode 23,S7.E23 ∙ The One with Monica and Chandler's Wedding: Part 1,"jeu., 17 mai 2001","8,7/10","So close to the wedding, Chandler suddenly realizes the overwhelming meaning of getting married. Meanwhile, Joey acts opposite a famous actor in a movie, but can't bring himself to tell him that he spits when he says his lines.",Saison 7
Épisode 24,S7.E24 ∙ The One with Monica and Chandler's Wedding: Part 2,"jeu., 17 mai 2001","9,1/10",Ross tries to find Chandler with Phoebe's help. Meanwhile Rachel tries to hinder Monica.,Saison 7
Épisode 1,S8.E1 ∙ The One After I Do,"jeu., 27 sept. 2001","8,6/10",The gang learns that Rachel is pregnant; Joey tries to impress a Broadway director who's dating Chandler's mom; Chandler's shoes make it hard for him to dance.,Saison 8
Épisode 2,S8.E2 ∙ The One with the Red Sweater,"jeu., 4 avr. 2002","9,0/10","Monica, Phoebe and Joey advise Rachel to tell the father about the pregnancy. Chandler and Ross lose the wedding photos.",Saison 8
Épisode 3,S8.E3 ∙ The One Where Rachel Tells...,"jeu., 11 oct. 2001","8,6/10","Even on their honeymoon, Monica is pushy, and is annoyed that Chandler won't jump the line at the airport check-in - especially after the couple in front of them, also on their honeymoon, get bumped up to first class.",Saison 8
Épisode 4,S8.E4 ∙ The One with the Videotape,"jeu., 18 oct. 2001","9,2/10","Ross and Rachel tell everyone about the night they were together. They have two different stories of how it happened until Ross accidentally reveals that he videotaped it. Not surprisingly, everyone wants to see it.",Saison 8
Épisode 5,S8.E5 ∙ The One with Rachel's Date,"jeu., 25 oct. 2001","7,9/10","Phoebe dates Monica's sous-chef Tim and Monica doesn't fire him for Phoebe's sake. When Phoebe decides to dump Tim, Monica can finally fire him.",Saison 8
Épisode 6,S8.E6 ∙ The One with the Halloween Party,"jeu., 1 nov. 2001","8,4/10","Monica and Chandler decide to throw a Halloween party; Phoebe runs into Ursula and her fiancée, who knows nothing about the real Ursula.",Saison 8
Épisode 7,S8.E7 ∙ The One with the Stain,"jeu., 8 nov. 2001","7,7/10","Chandler hires a maid, whom Monica suspects is stealing her clothing; Eric has trouble forgetting Ursula when he breaks up with her to date Phoebe. Joey, Rachel and Ross try to change their living arrangements.",Saison 8
Épisode 8,S8.E8 ∙ The One with the Stripper,"jeu., 15 nov. 2001","8,6/10","Chandler finds out that Monica had a bachelorette party, even though they promised not to have parties. Rachel takes Phoebe along to dinner with Rachel's dad, because she is afraid he will be angry when she tells him she's pregnant.",Saison 8
Épisode 9,S8.E9 ∙ The One with the Rumor,"jeu., 22 nov. 2001","9,2/10","Monica invites Will, an old school friend of her and Ross over for Thanksgiving dinner, unaware he isn't too fond of Rachel.",Saison 8
Épisode 10,S8.E10 ∙ The One with Monica's Boots,"jeu., 6 déc. 2001","7,9/10",Monica's expensive new boots hurt her feet but she's determined to show Chandler her purchase was worth it; Ben goes to school with Sting's son. Joey's sister becomes pregnant which causes Joey to intervene and she asks Rachel for advice.,Saison 8
Épisode 11,S8.E11 ∙ The One with Ross's Step Forward,"jeu., 13 déc. 2001","7,8/10",Ross' new girlfriend Mona orders Christmas cards with a photo of them on the cover. Rachel's pregnancy hormones are affecting her psychologically. Chandler's boss causes him to see what his life would be like without Monica.,Saison 8
Épisode 12,S8.E12 ∙ The One Where Joey Dates Rachel,"jeu., 10 janv. 2002","8,4/10",Joey takes Rachel to dinner on a pretend date to practice his dating skills but soon develops romantic feelings for her; gang addicted to Ms. Pac-Man. Ross is assigned to teach a new class but the travel time becomes too difficult for him.,Saison 8
Épisode 13,S8.E13 ∙ The One Where Chandler Takes a Bath,"jeu., 17 janv. 2002","8,4/10",Monica turns Chandler on to the concept of taking a bath to relax; Ross and Rachel toss baby names around while deciding whether to learn the baby's sex. Joey struggles with his feelings for Rachel.,Saison 8
Épisode 14,S8.E14 ∙ The One with the Secret Closet,"jeu., 31 janv. 2002","8,0/10","Chandler's very curious about a locked closet, but Monica won't tell him what is inside. Monica moans when Phoebe massages her which makes Phoebe uncomfortable. Ross is upset when he can't be more involved with Rachel's pregnancy issues.",Saison 8
Épisode 15,S8.E15 ∙ The One with the Birthing Video,"jeu., 7 févr. 2002","8,2/10","During Valentine's Day, Chandler discovers the miracle of birth seeing an extremely graphic video. Ross hides from Mona that Rachel is now living with him. Phoebe tries to help with Joey's depression caused by his feelings for Rachel.",Saison 8
Épisode 16,S8.E16 ∙ The One Where Joey Tells Rachel,"jeu., 28 févr. 2002","8,1/10",Ross freaks out when Joey tells him that he is in love with Rachel because Ross is afraid that they will get married and raise his kid together.,Saison 8
Épisode 17,S8.E17 ∙ The One with the Tea Leaves,"jeu., 7 mars 2002","7,9/10","Chandler and Monica are happy together - their worst problem is his habit to put CDs in the wrong box and their different taste in music. Rachel is desperate to get back on good terms with Joey, so she takes Monica's advice.",Saison 8
Épisode 18,S8.E18 ∙ The One in Massapequa,"jeu., 28 mars 2002","8,0/10",Everyone prepares for the Gellers' 35th wedding anniversary in Long Island; Monica struggles to prepare the perfect toast; Phoebe invites her new boyfriend Parker.,Saison 8
Épisode 19,S8.E19 ∙ The One with Joey's Interview,"jeu., 4 avr. 2002","7,2/10","Joey prepares for his epic interview with Soap Opera Digest, reminiscing about his past acting experiences, his friends and his romantic life.",Saison 8
Épisode 20,S8.E20 ∙ The One with the Baby Shower,"jeu., 25 avr. 2002","8,1/10",Monica and Phoebe throw Rachel a baby shower but forget to invite Rachel's mom. Rachel realizes she has no idea how to look after the baby. Joey auditions for a job as a host for a new game show. Chandler and Ross help him practice.,Saison 8
Épisode 21,S8.E21 ∙ The One with the Cooking Class,"jeu., 2 mai 2002","8,0/10","Monica's restaurant get a bad review. After confronting the critic who wrote it, she decides to join a cooking class, with Joey in tow. Rachel gets jealous when Ross hits it off with a woman at the baby department store.",Saison 8
Épisode 22,S8.E22 ∙ The One Where Rachel Is Late,"jeu., 9 mai 2002","8,2/10",Monica and Phoebe bet on when Rachel's baby will be born as the due date comes and goes as Rachel becomes extremely irritable; Chandler falls asleep at Joey's big movie premiere.,Saison 8
Épisode 23,S8.E23 ∙ The One Where Rachel Has a Baby: Part 1,"jeu., 16 mai 2002","8,7/10","Ross and Rachel go to the hospital to have their baby, but it's a long labor. They get stuck in a semi-private room, and many other couples come and go before Rachel is ready to deliver - the last couple being Janice and her new husband.",Saison 8
Épisode 24,S8.E24 ∙ The One Where Rachel Has a Baby: Part 2,"jeu., 16 mai 2002","8,8/10","After Rachel gives birth to her baby, she must confront relationship issues around her.",Saison 8
Épisode 1,S9.E1 ∙ The One Where No One Proposes,"jeu., 26 sept. 2002","8,5/10","Rachel, Ross and Joey get together and figure out that no one was actually going to propose; Mr. Geller walks in on Monica and Chandler having sex.",Saison 9
Épisode 2,S9.E2 ∙ The One Where Emma Cries,"jeu., 3 oct. 2002","8,4/10","Chandler, having trouble getting enough sleep at home, falls asleep in a meeting and accidentally agrees to run his company's Tulsa office.",Saison 9
Épisode 3,S9.E3 ∙ The One with the Pediatrician,"jeu., 10 oct. 2002","8,1/10","Joey arranges a blind date for Phoebe. Chandler is leaving for Tulsa without Monica, because she has got a great job offer.",Saison 9
Épisode 4,S9.E4 ∙ The One with the Sharks,"jeu., 17 oct. 2002","8,0/10",Monica thinks that Chandler is sexually attracted to sea life after he switches the station from porn to a shark documentary to conceal his sordid viewing.,Saison 9
Épisode 5,S9.E5 ∙ The One with Phoebe's Birthday Dinner,"jeu., 31 oct. 2002","8,3/10","Phoebe will celebrate her birthday by having a dinner with her friends at a fancy restaurant. But everybody is late to the dinner, due to a series of problems.",Saison 9
Épisode 6,S9.E6 ∙ The One with the Male Nanny,"jeu., 7 nov. 2002","8,2/10","Looking for a new nanny, Ross and Rachel hire a male nanny named Sandy. Monica tells Chandler that a guy at work is the funniest guy she has ever met.",Saison 9
Épisode 7,S9.E7 ∙ The One with Ross's Inappropriate Song,"jeu., 14 nov. 2002","8,5/10","Ross finds a way to make Emma laugh - singing ""Baby Got Back."" Meanwhile, Phoebe meets Mike's parents, and Joey and Chandler find a video tape in Richard's apartment.",Saison 9
Épisode 8,S9.E8 ∙ The One with Rachel's Other Sister,"jeu., 21 nov. 2002","8,7/10",Rachel's middle sister shows up at Thanksgiving and causes arguments amongst the gang.,Saison 9
Épisode 9,S9.E9 ∙ The One with Rachel's Phone Number,"jeu., 5 déc. 2002","8,0/10","Rachel is ready to start hanging out again. She and Phoebe go to a bar, where they meet two guys.",Saison 9
Épisode 10,S9.E10 ∙ The One with Christmas in Tulsa,"jeu., 12 déc. 2002","7,2/10","Chandler must spend Christmas in Tulsa, which Monica thinks he might have an affair with a former Miss Oklahoma runner-up while he is there. Chandler comes home early to announce that he quit his job.",Saison 9
Épisode 11,S9.E11 ∙ The One Where Rachel Goes Back to Work,"jeu., 9 janv. 2003","7,8/10","Chandler starts looking for a job and is anxious about having a baby, Rachel decides to go back to work, and Phoebe works as an extra on Joey's show.",Saison 9
Épisode 12,S9.E12 ∙ The One with Phoebe's Rats,"jeu., 16 janv. 2003","7,7/10",Ross makes Joey stay away from their new nanny. Mike accidentally kills Phoebe's rat. Gavin gives Rachel a scarf and a kiss for her birthday.,Saison 9
Épisode 13,S9.E13 ∙ The One Where Monica Sings,"jeu., 30 janv. 2003","7,9/10",A night at Mike's piano bar gives Monica a very showy moment in the spotlight; Chandler employs his secret skill to repair Joey's botched eyebrow-waxing job.,Saison 9
Épisode 14,S9.E14 ∙ The One with the Blind Dates,"jeu., 6 févr. 2003","8,0/10",Phoebe and Joey purposely set Ross and Rachel up on bad dates in the hopes they'll get back together. Monica and Chandler babysit Emma.,Saison 9
Épisode 15,S9.E15 ∙ The One with the Mugging,"jeu., 13 févr. 2003","8,1/10","Joey gets a part in a stage-play in a painful way. Ross and Phoebe are mugged outside Central Perk, Phoebe realizes that she mugged Ross 18 years ago. Chandler starts his new career as an advertising writer.",Saison 9
Épisode 16,S9.E16 ∙ The One with the Boob Job,"jeu., 20 févr. 2003","8,0/10","When Monica and Chandler both ask Joey for money not wanting the other to know why they are asking for it, Chandler sees that Joey gave money to Monica. Joey makes up that Monica is getting a boob job.",Saison 9
Épisode 17,S9.E17 ∙ The One with the Memorial Service,"jeu., 13 mars 2003","8,3/10","When Chandler and Ross joke around on their college website, Ross is accused of being dead which leads to the fact that he was not popular in college.",Saison 9
Épisode 18,S9.E18 ∙ The One with the Lottery,"jeu., 3 avr. 2003","8,5/10","Hoping to win a huge jackpot, the friends pool their money and buy dozens of lottery tickets. However, they bicker over how to spend the fortune if they win, and Monica irritates everyone else by buying tickets just for her and Chandler.",Saison 9
Épisode 19,S9.E19 ∙ The One with Rachel's Dream,"jeu., 17 avr. 2003","7,9/10","Nervous about his upcoming romantic scenes, Joey rehearses them with Rachel. Ross & Chandler get their money's worth on their weekend trip to Vermont while Phoebe takes advantage of Monica's clientele.",Saison 9
Épisode 20,S9.E20 ∙ The One with the Soap Opera Party,"jeu., 24 avr. 2003","8,1/10",Joey throws a cast party on the roof of his building where he ends up making out with an attractive professor that Ross had a crush on.,Saison 9
Épisode 21,S9.E21 ∙ The One with the Fertility Test,"jeu., 1 mai 2003","8,1/10",Joey comes to Ross for advice on dating Charlie. Chandler and Monica bump into Janice at a fertility clinic. Rachel has a gift certificate for a massage which Phoebe doesn't want her to use.,Saison 9
Épisode 22,S9.E22 ∙ The One with the Donor,"jeu., 8 mai 2003","7,6/10",Rachel take Joey's girlfriend Charlie and Phoebe shopping. Ross presents his theory to get a chance to go a conference in Barbados. Monica and Chandler consider alternate pregnancy options.,Saison 9
Épisode 23,S9.E23 ∙ The One in Barbados,"jeu., 15 mai 2003","8,5/10",The gang heads down to Barbados for the palaeontology conference.,Saison 9
Épisode 1,S10.E1 ∙ The One After Joey and Rachel Kiss,"jeu., 25 sept. 2003","8,4/10",Joey and Ross both attempt to come clean to each other that they're dating Rachel and Charlie. Phoebe finds out Mike has another girlfriend.,Saison 10
Épisode 2,S10.E2 ∙ The One Where Ross Is Fine,"jeu., 2 oct. 2003","8,7/10",Rachel and Joey fear for Ross's state of mind after he finds out about their relationship. Chandler and Monica visit some friends of Phoebe to get advice on adoption. Frank and the triplets come to visit.,Saison 10
Épisode 3,S10.E3 ∙ The One with Ross's Tan,"jeu., 9 oct. 2003","8,6/10",Ross goes to a tanning salon but fails to follow the 'simple' instructions. Joey and Rachel struggle to make the transition from friends to lovers. Monica and Phoebe try to avoid an annoying woman that used to live in their building.,Saison 10
Épisode 4,S10.E4 ∙ The One with the Cake,"jeu., 23 oct. 2003","8,2/10","On Emma's first birthday, Ross and Rachel convince everyone to delay their plans so they can attend her party, however plans go awry when Emma's birthday cake is revealed.",Saison 10
Épisode 5,S10.E5 ∙ The One Where Rachel's Sister Babysits,"jeu., 30 oct. 2003","8,0/10",Rachel's sister Amy comes to visit and moves in with her and Joey. Phoebe constantly and accidentally ruins Mike's proposals. Joey struggles to write a letter of recommendation for Monica and Chandler's adoption agency.,Saison 10
Épisode 6,S10.E6 ∙ The One with Ross' Grant,"jeu., 6 nov. 2003","8,0/10",Ross applies for a paleontology grant and finds out Charlie's ex-boyfriend reviews the applications. Monica and Rachel fight over who has to take Phoebe's ugly painting.,Saison 10
Épisode 7,S10.E7 ∙ The One with the Home Study,"jeu., 13 nov. 2003","8,1/10",Monica and Chandler nervously prepare for a visit from an adoption worker. Phoebe and Mike keep changing their minds about donating their wedding money to charity. Ross fights Rachel's fear of swings.,Saison 10
Épisode 8,S10.E8 ∙ The One with the Late Thanksgiving,"jeu., 20 nov. 2003","8,8/10","Joey, Ross, Rachel and Phoebe convince Monica and Chandler to host Thanksgiving, however the four of them end up arriving to dinner an hour late.",Saison 10
Épisode 9,S10.E9 ∙ The One with the Birth Mother,"jeu., 8 janv. 2004","8,4/10","Nervous and excited, Monica and Chandler travel to Ohio to meet a young pregnant woman, Erica Simmons, who is considering allowing them to adopt her child when it's born.",Saison 10
Épisode 10,S10.E10 ∙ The One Where Chandler Gets Caught,"jeu., 15 janv. 2004","7,8/10",Monica & Chandler look at real estate outside the city which leads to the rest of the gang reminiscing on all their memories of the apartment.,Saison 10
Épisode 11,S10.E11 ∙ The One Where the Stripper Cries,"jeu., 5 févr. 2004","8,9/10",Old secrets come to light when Ross and Chandler attend a college reunion. Monica and Rachel throw Phoebe a bachelorette party. Joey appears as a celebrity partner on a game show.,Saison 10
Épisode 12,S10.E12 ∙ The One with Phoebe's Wedding,"jeu., 12 févr. 2004","8,8/10",Chaos ensues as Phoebe and Mike prepare to get married.,Saison 10
Épisode 13,S10.E13 ∙ The One Where Joey Speaks French,"jeu., 19 févr. 2004","8,3/10",Phoebe tries to teach Joey to speak French for an audition; Ross and Rachel head out to Long Island after her dad has a heart attack.,Saison 10
Épisode 14,S10.E14 ∙ The One with Princess Consuela,"jeu., 26 févr. 2004","8,4/10",Phoebe ponders whether or not to changer her name. Monica & Chandler take Joey to visit the new house. Ross & Rachel set their eyes on their career profession.,Saison 10
Épisode 15,S10.E15 ∙ The One Where Estelle Dies,"jeu., 22 avr. 2004","8,4/10","Ross tries to get Rachel to go back to Ralph Lauren, Joey doesn't know that his agent has died, and Monica and Chandler bump into Janice.",Saison 10
Épisode 16,S10.E16 ∙ The One with Rachel's Going Away Party,"jeu., 29 avr. 2004","8,8/10","The gang throws Rachel a goodbye party, during which she says goodbye to everybody individually.",Saison 10
Épisode 17,S10.E17 ∙ The Last One: Part 1,"jeu., 6 mai 2004","9,6/10","Phoebe races Ross to the airport in a bid to stop Rachel from leaving for Paris. Monica and Chandler pack up their apartment ahead of their move to their new house, and Joey buys Chandler a new chick and duck as a leaving present.",Saison 10
Épisode 18,S10.E18 ∙ The Last One: Part 2,"jeu., 6 mai 2004","9,5/10",The six friends prepare to say goodbye and embark on the next chapters of their lives; momentous events and last-minute surprises.,Saison 10
